CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLSAN5305,LA MAROMA - MINA,,2413,MATEHUALA-HUIZACHE,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,CATORCE,ACUÍFERO MATEHUALA-HUIZACHE,SUBTERRÁNEO,POZO,23.5156,-100.8472
DLSAN5306,LOS CATORCE,,2401,VANEGAS-CATORCE,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,CATORCE,ACUÍFERO VANEGAS-CATORCE,SUBTERRÁNEO,POZO,23.7002,-100.9102
DLSAN5383,GRANJAS LA FLORIDA CNA-11-394,,2411,SAN LUIS POTOSI,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,CERRO DE SAN PEDRO,ACUÍFERO SAN LUIS POTOSI,SUBTERRÁNEO,POZO,22.15280556,-100.84225
DLSAN5384,EL HUIZACHE CNA-11-248,,2411,SAN LUIS POTOSI,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,SOLEDAD DE GRACIANO SÁNCHEZ,ACUÍFERO SAN LUIS POTOSI,SUBTERRÁNEO,POZO,22.23666667,-100.8530556
DLSAN5385,LA ZORRA CNA-11-274,,2411,SAN LUIS POTOSI,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,CERRO DE SAN PEDRO,ACUÍFERO SAN LUIS POTOSI,SUBTERRÁNEO,POZO,22.18311,-100.850917
DLSAN5386,FRACC. LA FLORIDA CNA-11-299,,2411,SAN LUIS POTOSI,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,ACUÍFERO SAN LUIS POTOSI,SUBTERRÁNEO,POZO,22.14888889,-100.8460278
DLSAN5387, REAL DEL POTOSI CNA-11-304,,2411,SAN LUIS POTOSI,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,CERRO DE SAN PEDRO,ACUÍFERO SAN LUIS POTOSI,SUBTERRÁNEO,POZO,22.16275,-100.8676111
DLSAN6189,COMUNIDAD DERRAMADEROS,,2411,SAN LUIS POTOSI,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,MEXQUITIC DE CARMONA,POZO,SUBTERRÁNEO,POZO,22.26794444,-101.1143889
DLSAN6190,POZO SAN JOSE DE ARBOLITO,,2408,VILLA DE ARISTA,CUENCAS CENTRALES DEL NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,VILLA DE ARISTA,ACUÍFERO VILLA DE ARISTA,SUBTERRÁNEO,POZO,22.67705556,-100.8484722
DLSAN6524,CAÑADA DE YAÑEZ,RÍO SANTA MARÍA 1,,,GOLFO NORTE,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,SANTA MARIA DEL RIO,PRESA MARIANO MOCTEZUMA,LÉNTICO,PRESA,21.81326,-100.64397
