CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLAGU10M1,"INDUSTRIAS DEL INTERIOR, S. DE R.L. DE C.V.",PRESA AJOJUCAR,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,DREN AGRICOLA Y SUELO,LÓTICO,DESCARGA,21.79912,-102.29228
DLAGU11,PRESA JOCOQUI 100M AGUAS ARRIBA DE LA CORTINA,RÍO SAN PEDRO,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA EL JOCOQUI,LÉNTICO,PRESA,22.12123,-102.35794
DLAGU12,PRESA EL JOCOQUI COLA,RÍO SAN PEDRO,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA EL JOCOQUI,LÉNTICO,PRESA,22.1358,-102.37846
DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.14165,-102.41856
DLAGU14,PRESA PRESIDENTE CALLES EMBARCADERO,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.15254,-102.4263
DLAGU15,PRESA PRESIDENTE CALLES TECONGO,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.13077,-102.44221
DLAGU16,PRESA PRESIDENTE CALLES RIO BLANCO,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.14564,-102.44423
DLAGU17,PRESA PRESIDENTE CALLES PAREDES,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA PRESIDENTE CALLES,LÉNTICO (HUMEDAL),PRESA,22.13645,-102.45887
DLAGU18,PRESA 50 ANIVERSARIO CORTINA,PRESA CALLES,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSÉ DE GRACIA,PRESA 50 ANIVERSARIO,LÉNTICO,PRESA,22.18899,-102.4653
DLAGU19,POZO PASO BLANCO,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.97497,-102.31557
DLAGU1M1,POZO DE LA COMUNIDAD DE LOS DURON,,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.75181,-102.12402
DLAGU2,POZO COMUNIDAD SANDOVALES,,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,NORIA,21.8829,-102.1124
DLAGU20,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ABAJO),PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,RIO CHICALOTE,LÓTICO,RÍO,21.98063,-102.29445
DLAGU21,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ARRIBA),PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,RIO CHICALOTE,LÓTICO,RÍO,21.98524,-102.28905
DLAGU22,RIO SAN PEDRO AGUAS ARRIBA DE LA CD DE AGUASCALIENTES,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,RÍO SAN PEDRO,LÓTICO,RÍO,21.94,-102.33
DLAGU23,PRESA LOS GRINGOS,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PRESA LOS GRINGOS,LÉNTICO,PRESA,21.90766,-102.26814
DLAGU24,PRESA EL CEDAZO,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PRESA EL CEDAZO,LÉNTICO,PRESA,21.86921,-102.25658
DLAGU25,"NISSAN MEXICANA, S.A. DE C.V.",PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,ARROYO SAN FRANCISCO Y SUCIO,LÓTICO,DESCARGA,21.81494,-102.28459
DLAGU26,DESCARGA DE LA CIUDAD DE AGUASCALIENTES,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,RÍO SAN PEDRO,LÓTICO,DESCARGA,21.83418,-102.34222
DLAGU27,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,21.81824,-102.35734
DLAGU27M1,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,RIO SAN PEDRO,LÓTICO (HUMEDAL),RÍO,21.84536,-102.33361
DLAGU28,PRESA EL NIAGARA 3500M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,21.81627,-102.37299
DLAGU29,PRESA EL NIAGARA 2000M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,21.8007,-102.37466
DLAGU3,PALO ALTO POZO Nº 2,,103,EL LLANO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,EL LLANO,ACUÍFERO EL LLANO,SUBTERRÁNEO,POZO,21.9055,-101.96439
DLAGU30,PRESA EL NIAGARA 1000M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,21.79024,-102.36799
DLAGU31,PRESA EL NIAGARA CANAL DE RIEGO,PRESA AJOJUCAR,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,LÓTICO,CANAL,21.77918,-102.37381
DLAGU32,PRESA EL NIAGARA 100M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,LÉNTICO (HUMEDAL),PRESA,21.78043,-102.3708
DLAGU32M1,HIDRANTE PARCELARII DISTRITO DE RIEGO 001 PABELLON,RÍO SAN PEDRO,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PABELLÓN DE ARTEAGA,PRESA PRESIDENTE CALLES,LÉNTICO,SISTEMA DE RIEGO DE LA PRESA,22.143375,-102.34201
DLAGU33,RIO SAN PEDRO LAGUNA EL SABINAL,PRESA AJOJUCAR,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,RIO SAN PEDRO,LÓTICO,RÍO,21.75618,-102.37363
DLAGU34,POZO TANQUE DE LOS JIMENEZ,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.7079,-102.36716
DLAGU35,RIO SAN PEDRO PUENTE SAN PEDRO CIENEGUILLA,PRESA AJOJUCAR,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,RIO SAN PEDRO,LÓTICO,RÍO,21.71666,-102.40724
DLAGU36M1,PRESA LAS MERCEDES,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ASIENTOS,PRESA LAS MERCEDES,LÉNTICO,PRESA,21.99751,-101.86181
DLAGU37M1,RIO SAN PEDRO SUR DEL PARQUE RECREATIVO EL SABINAL,PRESA AJOJUCAR,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,RIO SAN PEDRO,LÓTICO,RÍO,21.74109,-102.36757
DLAGU38M1,RIO SAN PEDRO EXHACIENDA AGOSTADERITO,PRESA AJOJUCAR,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,RIO SAN PEDRO,LÓTICO,RÍO,21.76688,-102.36137
DLAGU39,POZO JALTICHE DE ABAJO,,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.7742,-102.79253
DLAGU4,POZO SANTA MARIA DE GALLARDO,,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.04557,-102.11368
DLAGU40,PRESA MEDIA LUNA 100M AGUAS ARRIBA DE LA CORTINA,RÍO JUCHIPILA 1,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,PRESA MEDIA LUNA,LÉNTICO (HUMEDAL),PRESA,21.82335,-102.77811
DLAGU41,DESCARGA CALVILLO,RÍO JUCHIPILA 1,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,RIO CALVILLO (DESCARGA),LÓTICO,DESCARGA,21.84769,-102.73815
DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.84439,-102.728
DLAGU43,PRESA PEÑA BLANCA 100 M AGUAS ARRIBA DE LA CORTINA,RÍO JUCHIPILA 1,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,PRESA PEÑA BLANCA,LÉNTICO,PRESA,21.90446,-102.75308
DLAGU44,POZO SAN TADEO,,105,VALLE DE CALVILLO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,ACUÍFERO VALLE DE CALVILLO,SUBTERRÁNEO,POZO,21.92306,-102.6984
DLAGU45,PRESA ORDEÑA VIEJA 100 M AGUAS ARRIBA DE LA CORTINA,RÍO JUCHIPILA 1,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,PRESA ORDEÑA VIEJA,LÉNTICO,PRESA,21.94775,-102.72268
DLAGU46,PRESA LA CODORNIZ 100M AGUAS ARRIBA DE LA CORTINA,RÍO JUCHIPILA 1,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,PRESA LA CODORNIZ,LÉNTICO,PRESA,21.99809,-102.67545
DLAGU47,PRESA MALPASO 100 M AGUAS ARRIBA DE LA CORTINA,RÍO JUCHIPILA 1,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,21.85799,-102.65304
DLAGU48,PRESA MAL PASO COLA,RÍO JUCHIPILA 1,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,CALVILLO,PRESA MALPASO,LÉNTICO (HUMEDAL),PRESA,21.85779,-102.6479
DLAGU49,POZO TAPIAS VIEJAS,,104,VENADERO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VENADERO,SUBTERRÁNEO,POZO,21.85116,-102.53558
DLAGU5,"POZO 1 VILLA JUAREZ, ASIENTOS",,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ASIENTOS,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.09141,-102.06644
DLAGU50M1,POZO GRACIAS A DIOS,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.92859,-102.48305
DLAGU51M1,PRESA ABELARDO RODRIGUEZ 100M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,21.91633,-102.4286
DLAGU52,COLA DE LA PRESA ABELARDO RODRIGUEZ 2000M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,21.9116,-102.43485
DLAGU53,PRESA ABELARDO RODRIGUEZ 1000M AGUAS ARRIBA DE LA CORTINA,PRESA EL NIÁGARA,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,PRESA ABELARDO RODRIGUEZ,LÉNTICO (HUMEDAL),PRESA,21.91555,-102.4331
DLAGU5566,POZO ASIENTOS 1,,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ASIENTOS,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.24772222,-102.0881389
DLAGU5567,POZO PLUTARCO ELIAS CALLES,,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ASIENTOS,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.21366667,-102.052
DLAGU5568,POZO TEPEZALA,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,TEPEZALÁ,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.21575,-102.1687778
DLAGU5569,POZO PUERTO DE LA CONCEPCION,,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ASIENTOS,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.19397222,-102.1249444
DLAGU5570,POZO ARROYO HONDO,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,TEPEZALÁ,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.18761111,-102.2126667
DLAGU5571,POZO CALDERA,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,PABELLÓN DE ARTEAGA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.16163889,-102.22225
DLAGU5572,POZO SAN JUAN DE LA NATURA,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,RINCÓN DE ROMOS,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.35511111,-102.2268333
DLAGU5573,POZO 16 DE SEPTIEMBRE,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,RINCÓN DE ROMOS,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.34277778,-102.2069444
DLAGU5574,POZO NUM. 5 RINCON DE ROMOS,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,RINCÓN DE ROMOS,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.22219444,-102.3246667
DLAGU5575,POZO CAÑADA HONDA,,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,21.99963889,-102.2008333
DLAGU5576,POZO NUM 6 PARRAS,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.91502778,-102.2816667
DLAGU5577,POZO JESUS GOMEZ PORTUGAL,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,JESÚS MARÍA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,21.99889167,-102.2908333
DLAGU5578,POZO SAN FRANCISCO DE LOS ROMO,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,ACUÍFERO SAN FRANCISCO DE LOS ROMO,SUBTERRÁNEO,POZO,22.07944,-102.27547
DLAGU5579,POZO PABELLON DE ARTEGA,,1410,LAGOS DE MORENO,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,JALISCO,SAN JUAN DE LOS LAGOS,ACUÍFERO LAGOS DE MORENO,SUBTERRÁNEO,POZO,21.14919444,-102.2768472
DLAGU5580,POZO SAN JOSE DE GRACIA,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,SAN JOSé DE GRACIA,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.14971,-102.41801
DLAGU6,POZO SAN GIL,,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,ASIENTOS,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,22.20887,-102.0221
DLAGU6516,POZO R013 CAÑADA HONDA,,102,VALLE DE CHICALOTE,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES,ACUÍFERO VALLE DE CHICALOTE,SUBTERRÁNEO,POZO,21.99958,-102.20075
DLAGU7,POZO COSIO,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,COSÍO,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.36685,-102.28801
DLAGU8,PRESA EL SAUCILLO 100M AGUAS ARRIBA DE LA CORTINA,RÍO SAN PEDRO,,,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,RINCÓN DE ROMOS,PRESA EL SAUCILLO,LÉNTICO,PRESA,22.2473,-102.33911
DLAGU9,POZO EL SALITRILLO,,101,VALLE DE AGUASCALIENTES,LERMA SANTIAGO PACÍFICO,AGUASCALIENTES,AGUASCALIENTES,RINCÓN DE ROMOS,ACUÍFERO VALLE DE AGUASCALIENTES,SUBTERRÁNEO,POZO,22.18435,-102.29449
DLBAJ100,"LOS CABOS SEG 22, 2 ISA10B",SAN JOSÉ DEL CABO,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,22.90473,-109.842896
DLBAJ101,"LOS CABOS SEG 22, 1 ISA10B",SAN LUCAS,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,OCEANO PACIFICO,COSTERO,OCÉANO-MAR,22.8988,-109.864419
DLBAJ102,LOS CABOS 3,SAN LUCAS,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,BAHIA SAN LUCAS,COSTERO,BAHIA,22.896087,-109.886041
DLBAJ103,LOS CABOS 1,SAN LUCAS,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,BAHIA SAN LUCAS,COSTERO,BAHIA,22.876935,-109.896574
DLBAJ104,BAHIA CABO SAN LUCAS,SAN LUCAS,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,BAHIA SAN LUCAS,COSTERO,BAHIA,22.88,-109.9025
DLBAJ105,LOS CABOS 2,SAN LUCAS,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,BAHIA SAN LUCAS,COSTERO,BAHIA,22.8831,-109.9054
DLBAJ106W2,LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,TODOS SANTOS,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,COSTERO,LAGUNA,23.439303,-110.239019
DLBAJ107,RANCHO EL TECOLOTE,,313,TODOS SANTOS,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,ACUÍFERO TODOS SANTOS,SUBTERRÁNEO,POZO,23.45138,-110.2448
DLBAJ108,POZO A.P. CNA 7 (ANTES POZO A.P. CNA 6),,313,TODOS SANTOS,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,ACUÍFERO TODOS SANTOS,SUBTERRÁNEO,POZO,23.46493,-110.22067
DLBAJ109,MANANTIAL SAN REGIS,TODOS SANTOS,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,TODOS SANTOS,LÓTICO,ARROYO,23.45805,-110.22379
DLBAJ110,"POZO 26, SAN JUAN",,313,TODOS SANTOS,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,ACUÍFERO TODOS SANTOS,SUBTERRÁNEO,POZO,23.4746,-110.21396
DLBAJ111,VICTOR HUGO CESEÑA,,317,CABO SAN LUCAS,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,ACUÍFERO CABO SAN LUCAS,SUBTERRÁNEO,POZO,22.8905,-109.907306
DLBAJ112,AGUA CALIENTE II,SANTIAGO,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,SANTIAGO,LÓTICO,ARROYO,23.43995,-109.80786
DLBAJ113,"ROCA FOSFORICA MEXICANA, S.A. DE C.V. III",ALFREDO B. BONFIL,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,GOLFO DE CALIFORNIA,COSTERO,DESCARGA,24.36397,-110.67942
DLBAJ114W1,"ROCA FOSFORICA MEXICANA, S.A. DE C.V.",ALFREDO B. BONFIL,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,GOLFO DE CALIFORNIA,COSTERO,DESCARGA INDUSTRIAL,24.36563,-110.70556
DLBAJ115,"ROCA FOSFORICA MEXICANA, S.A. DE C.V. (PARTE MEDIA)",ALFREDO B. BONFIL,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,GOLFO DE CALIFORNIA,LÓTICO,DESCARGA,24.36765,-110.69701
DLBAJ116,"ROCA FOSFORICA MEXICANA, S.A. DE C.V.",ALFREDO B. BONFIL,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,GOLFO DE CALIFORNIA,LÓTICO,DESCARGA,24.36745,-110.68807
DLBAJ117,LAS PARRITAS,,322,EL CARRIZAL,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,ACUÍFERO EL CARRIZAL,SUBTERRÁNEO,POZO,23.799861,-110.088778
DLBAJ118,SAN ANTONIO,,323,LOS PLANES,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,ACUÍFERO LOS PLANES,SUBTERRÁNEO,POZO,23.824722,-110.054722
DLBAJ119,AGUA AMARGA Y SAN PEDRO MEXICO,,323,LOS PLANES,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,ACUÍFERO LOS PLANES,SUBTERRÁNEO,POZO,23.94632,-109.907091
DLBAJ120,BOCA DE LA SIERRA,SAN JOSÉ DEL CABO,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,LÓTICO,RÍO,23.3889,-109.827745
DLBAJ120M1,BOCA DE LA SIERRA,SAN JOSÉ DEL CABO,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LOS CABOS,SAN JOSE DEL CABO,LÓTICO (HUMEDAL),ARROYO,23.39128,-109.8261
DLBAJ121,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,LAS POCITAS-SAN HILARIO,,,PENÍNSULA DE BAJA CALIFORNIA,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,LÓTICO (HUMEDAL),ARROYO,24.502889,-110.951528
